movie_title,title_year,genres,actor_1_name,actor_2_name,actor_3_name,director_name,keywords
The Wedding Date,2005.0,Comedy Romance,Jack Davenport,Debra Messing,Holland Taylor,Clare Kilner,chick flick escort male escort wedding wedding date
Halloween: Resurrection,2002.0,Comedy Horror Thriller,Jamie Lee Curtis,Thomas Ian Nicholas,Bianca Kajlich,Rick Rosenthal,cult film halloween killer michael myers serial killer
Clash of the Titans,2010.0,Action Adventure Fantasy,Liam Neeson,Jason Flemyng,Alexa Davalos,Louis Leterrier,famous line hand to hand combat kraken rape zeus
The Princess Bride,1987.0,Adventure Family Fantasy Romance,Robin Wright,Carol Kane,André the Giant,Rob Reiner,fairy tale giant pirate princess true love
The Great Debaters,2007.0,Biography Drama,Denzel Washington,Jurnee Smollett-Bell,John Heard,Denzel Washington,college debate student texas wiley college
Drive,2011.0,Crime Drama,Ryan Gosling,Albert Brooks,Russ Tamblyn,Nicolas Winding Refn,kissing in an elevator mythical hero neo noir protective male silent protagonist
Confessions of a Teenage Drama Queen,2004.0,Comedy Family Music Romance,Adam Garcia,Carol Kane,Glenne Headly,Sara Sugarman,band friend new york city suburb teenager
The Object of My Affection,1998.0,Comedy Drama Romance,Liam Aiken,Tim Daly,Kali Rocha,Nicholas Hytner,baby dancing gay name calling penis slur
28 Weeks Later,2007.0,Drama Horror Sci-Fi,Jeremy Renner,Harold Perrineau,Catherine McCormack,Juan Carlos Fresnadillo,paris france rage sniper u.s. army zombie apocalypse
When the Game Stands Tall,2014.0,Drama Family Sport,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain,Thomas Carter,coach high school football
Because of Winn-Dixie,2005.0,Comedy Drama Family,Cicely Tyson,Luke Benward,Eva Marie Saint,Wayne Wang,10 year old dog florida girl supermarket
Love & Basketball,2000.0,Drama Romance Sport,Alfre Woodard,Sanaa Lathan,Omar Epps,Gina Prince-Bythewood,basketball movie female basketball player high school nba title directed by female
Grosse Pointe Blank,1997.0,Action Comedy Crime Romance Thriller,Minnie Driver,Michael Cudlitz,Mitchell Ryan,George Armitage,assassin high school high school reunion reunion suburb
All About Steve,2009.0,Comedy Romance,Bradley Cooper,Katy Mixon,Beth Grant,Phil Traill,blind date crossword puzzle eccentric fall mine shaft
Book of Shadows: Blair Witch 2,2000.0,Adventure Fantasy Horror Mystery Thriller,Kim Director,Erica Leerhsen,Kurt Loder,Joe Berlinger,convenience store digit in title punctuation in title violence witch
The Craft,1996.0,Drama Fantasy Horror Thriller,Christine Taylor,Rachel True,Brenda Strong,Andrew Fleming,coven occult outcast spell witch
Match Point,2005.0,Drama Romance Thriller,Scarlett Johansson,Mark Gatiss,Penelope Wilton,Woody Allen,extramarital affair infidelity irony of fate surprise ending tennis
Ramona and Beezus,2010.0,Adventure Comedy Family Fantasy,Sierra McCormick,Hutch Dano,Jason Spevack,Elizabeth Allen Rosenbaum,aunt cat death of pet girl no opening credits
The Remains of the Day,1993.0,Drama Romance,Anthony Hopkins,Peter Vaughan,Ben Chaplin,James Ivory,butler housekeeper manor servant service
Boogie Nights,1997.0,Drama,Don Cheadle,Nicole Ari Parker,Nina Hartley,Paul Thomas Anderson,1970s adult entertainment industry nightclub porn industry san fernando valley california
Nowhere to Run,1993.0,Action Crime Drama Romance Thriller,Kieran Culkin,Rosanna Arquette,Joss Ackland,Robert Harmon,business escaped convict farm motorcycle widow
Flicka,2006.0,Adventure Drama Family,Alison Lohman,Danny Pino,Tim McGraw,Michael Mayer,father son relationship horse horse ranch ranch wild mustang
The Hills Have Eyes II,2007.0,Horror,Jeff Kober,Daniella Alonso,Jacob Vargas,Martin Weisz,desert fight hill murder mutant
Urban Legends: Final Cut,2000.0,Horror Mystery Thriller,Loretta Devine,Joey Lawrence,Jacinda Barrett,John Ottman,film set movie set sequel slow motion urban legend
Tuck Everlasting,2002.0,Drama Family Fantasy Romance,William Hurt,Sissy Spacek,Jonathan Jackson,Jay Russell,fountain of youth immortality secret woods young man
The Marine,2006.0,Action Drama Thriller,Kelly Carlson,Firass Dirani,Drew Powell,John Bonito,beating marine muscleman tied up tough guy
Keanu,2016.0,Action Comedy,Nia Long,Will Forte,Keegan-Michael Key,Peter Atencio,car chase gangsta gun fight hitman kitten
Country Strong,2010.0,Drama Music,Leighton Meester,Cinda McCain,Tim McGraw,Shana Feste,country music panties pink panties relapse songwriter
Disturbing Behavior,1998.0,Horror Mystery Sci-Fi Thriller,Bruce Greenwood,Ethan Embry,Katharine Isabelle,David Nutter,blue ribbon high school jacket jock yogurt
The Place Beyond the Pines,2012.0,Crime Drama Thriller,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza,Derek Cianfrance,bank carnival motorcycle police rookie cop
The November Man,2014.0,Action Crime Thriller,Luke Bracey,Akie Kotabe,Will Patton,Roger Donaldson,critically bashed premarital sex sex scene sex standing up stripper
Eye of the Beholder,1999.0,Drama Mystery Thriller,Jason Priestley,Patrick Bergin,Geneviève Bujold,Stephan Elliott,chicago illinois false identity femme fatale new york city spying
The Hurt Locker,2008.0,Drama History Thriller War,Jeremy Renner,Christian Camargo,Brian Geraghty,Kathryn Bigelow,army bomb dangerous job death iraq
Firestarter,1984.0,Action Horror Sci-Fi Thriller,Heather Locklear,George C. Scott,David Keith,Mark L. Lester,captain experiment fire psychic secret government agency
Killing Them Softly,2012.0,Crime Thriller,Brad Pitt,Sam Shepard,Ben Mendelsohn,Andrew Dominik,exploding car hit by a car poker game punched in the face shot to death
A Most Wanted Man,2014.0,Crime Drama Thriller,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi,Anton Corbijn,intelligence intelligence agency secret service surveillance camera war on terror
Freddy Got Fingered,2001.0,Comedy,Rip Torn,Harland Williams,Eddie Kaye Thomas,Tom Green,animator bamboo cane cartoonist sausage slacker
The Pirates Who Don't Do Anything: A VeggieTales Movie,2008.0,Adventure Animation Comedy Family,Yuri Lowenthal,Cam Clarke,Phil Vischer,Mike Nawrocki,17th century king pirate vegetable waiter
U2 3D,2007.0,Documentary Music,Bono,The Edge,Larry Mullen Jr.,Catherine Owens,3d in title digit in title rock band rocker u2
Highlander: Endgame,2000.0,Action Adventure Fantasy Sci-Fi,Christopher Lambert,Adrian Paul,Adam Copeland,Douglas Aarniokoski,battle explosion immortal revenge sequel to cult film
Idlewild,2006.0,Crime Drama Musical Romance,Cicely Tyson,Faizon Love,Bobb'e J. Thompson,Bryan Barber,gangster playing piano song and dance speakeasy written and directed by cast member
One Day,2011.0,Drama Romance,Anne Hathaway,Jim Sturgess,Rafe Spall,Lone Scherfig,23 year time span accidental death best friend loss of loved one male female friendship
Whip It,2009.0,Drama Sport,Daniel Stern,Jimmy Fallon,Alia Shawkat,Drew Barrymore,beauty pageant friend pageant roller derby texas
Knockaround Guys,2001.0,Crime Drama Thriller,Vin Diesel,Tom Noonan,Kevin Gage,Brian Koppelman,mob mobster money montana sheriff
Confidence,2003.0,Crime Thriller,Louis Lombardi,Brian Van Holt,Leland Orser,James Foley,con grifter lap dance organized crime shot in the forehead
The Muse,1999.0,Comedy,Jeff Bridges,Bradley Whitford,Albert Brooks,Albert Brooks,directed by star muse satire screenwriter tiffany's
De-Lovely,2004.0,Biography Drama Music Musical,Kevin McNally,Keith Allen,Sandra Nelson,Irwin Winkler,cole porter composer love party tears
New York Stories,1989.0,Comedy Drama Romance,Woody Allen,Larry David,Mia Farrow,Woody Allen,12 year old artist hotel three word title written and directed by cast member
Barney's Great Adventure,1998.0,Adventure Family,Trevor Morgan,Kyla Pratt,Shirley Douglas,Steve Gomer,apostrophe in title critically bashed hit on the head with a ball punctuation in title tyrannosaurus rex
The Man with the Iron Fists,2012.0,Action,Rick Yune,RZA,Daniel Wu,RZA,blacksmith box office flop chop socky critically bashed village
Home Fries,1998.0,Comedy Drama Romance,Catherine O'Hara,Jake Busey,Shelley Duvall,Dean Parisot,baby infidelity pilot pregnant waitress
Here on Earth,2000.0,Drama Romance,Bruce Greenwood,Chris Klein,Elaine Hendrix,Mark Piznarski,diner love private school school small town
Brazil,1985.0,Drama Sci-Fi,Robert De Niro,Bob Hoskins,Jim Broadbent,Terry Gilliam,black comedy bureaucracy dream terrorist wrongful arrest
Raise Your Voice,2004.0,Family Music Romance,Oliver James,Rebecca De Mornay,Jason Ritter,Sean McNamara,music school scholarship small town stage fright three word title
The Dead Zone            ,unknown,Drama Fantasy Mystery Sci-Fi,David Ogden Stiers,Nicole de Boer,Chris Bruno,unknown,psychic psychic power psychometry spin off supernatural power
The Big Lebowski,1998.0,Comedy Crime,Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi,Joel Coen,death drug nihilism rug white russian
Black Snake Moan,2006.0,Drama Music,Justin Timberlake,Michael Raymond-James,S. Epatha Merkerson,Craig Brewer,breasts nipples visible through clothing nudity rear entry sex white panties
Dark Blue,2002.0,Crime Drama Romance Thriller,Khandi Alexander,Dash Mihok,Michael Michele,Ron Shelton,corrupt criminal investigation lapd police
A Mighty Heart,2007.0,Biography Drama History Thriller War,Angelina Jolie Pitt,Archie Panjabi,Dan Futterman,Michael Winterbottom,fbi journalist missing pakistan reporter
Whatever It Takes,2000.0,Comedy Drama Romance,James Franco,Jodi Lyn O'Keefe,Marla Sokoloff,David Raynr,male objectification manipulative behavior modern day adaptation narcissistic woman promiscuous woman
Boat Trip,2002.0,Comedy,Vivica A. Fox,Lin Shaye,Bob Gunton,Mort Nathan,gay hot air balloon rejecting a marriage proposal talking to a dog vomiting on someone
The Importance of Being Earnest,2002.0,Comedy Drama Romance,Colin Firth,Tom Wilkinson,Rupert Everett,Oliver Parker,comedy of manners false identity farce love period drama
The Love Letter,1998.0,Fantasy Romance,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,Dan Curtis,antique desk letter love time travel
Hoot,2006.0,Adventure Comedy Family,Logan Lerman,Neil Flynn,Tim Blake Nelson,Wil Shriner,fight florida montana owl school
In Bruges,2008.0,Comedy Crime Drama,Elizabeth Berrington,Anna Madeley,Eric Godon,Martin McDonagh,bruges bullet hope irish tourist
Peeples,2013.0,Comedy Romance,Tyler James Williams,S. Epatha Merkerson,Diahann Carroll,Tina Gordon Chism,african american
The Rocker,2008.0,Comedy Music,Emma Stone,Bradley Cooper,Josh Gad,Peter Cattaneo,20 years later drummer hdtv rock band rock star
Post Grad,2009.0,Comedy Romance,J.K. Simmons,Zach Gilford,Bobby Coleman,Vicky Jenson,graduation graduation speech title directed by female tv studio unemployment
Promised Land,2012.0,Drama,Matt Damon,Hal Holbrook,Terry Kinney,Gus Van Sant,corporate greed corporation natural gas salesman small town
Whatever Works,2009.0,Comedy Romance,Larry David,Michael McKean,Conleth Hill,Woody Allen,atheist limp quantum mechanics religion runaway
The In Crowd,2000.0,Drama Mystery Thriller,Matthew Settle,Susan Ward,A.J. Buckley,Mary Lambert,clique country club female protagonist lip gloss title directed by female
Three Burials,2005.0,Adventure Crime Drama Mystery Western,Levon Helm,Dwight Yoakam,Guillermo Arriaga,Tommy Lee Jones,cemetery friend journey mexico promise
Jakob the Liar,1999.0,Drama War,Robin Williams,Mark Margolis,Michael Jeter,Peter Kassovitz,german ghetto hope nazi radio
Kiss Kiss Bang Bang,2005.0,Comedy Crime Mystery,Robert Downey Jr.,Corbin Bernsen,Larry Miller,Shane Black,actor detective sergeant hotel nightclub thief
Idle Hands,1999.0,Comedy Fantasy Horror Thriller,Vivica A. Fox,Fred Willard,Elden Henson,Rodman Flender,breasts female frontal nudity nude woman murdered slow motion scene trailer home
Mulholland Drive,2001.0,Drama Mystery Thriller,Naomi Watts,Robert Forster,Laura Harring,David Lynch,amnesia car accident female protagonist lesbian sex loss of memory
Blood and Chocolate,2007.0,Drama Fantasy Horror Romance,Olivier Martinez,Agnes Bruckner,Chris Geere,Katja von Garnier,colorado love murder rocky mountains werewolf
You Will Meet a Tall Dark Stranger,2010.0,Comedy Drama Romance,Anthony Hopkins,Naomi Watts,Ewen Bremner,Woody Allen,call girl charlatan fortune teller manuscript writer
Never Let Me Go,2010.0,Drama Romance Sci-Fi,Andrew Garfield,Charlie Rowe,Charlotte Rampling,Mark Romanek,boarding school childhood love love triangle organ donation
The Company            ,unknown,Drama History Thriller,Anna Silk,Tom Hollander,Alessandro Nivola,unknown,cia mole revolution spy ussr
Transsiberian,2008.0,Crime Drama Mystery Thriller,Thomas Kretschmann,Eduardo Noriega,Mac McDonald,Brad Anderson,35 mm digital camera drugs murder train travel
The Clan of the Cave Bear,1986.0,Adventure Drama Fantasy,Curtis Armstrong,Pamela Reed,Mike Muscat,Michael Chapman,cave bear cro magnon neanderthal survival tradition
Crazy in Alabama,1999.0,Comedy Crime Drama,Meat Loaf,Elizabeth Perkins,Noah Emmerich,Antonio Banderas,abusive husband alabama boy dream sheriff
Funny Games,2007.0,Crime Drama Horror Thriller,Naomi Watts,Siobhan Fallon Hogan,Brady Corbet,Michael Haneke,breaking the fourth wall looking at the camera remake serial killer violence
Listening,2014.0,Drama Sci-Fi Thriller,Thomas Stroppel,Kalim Chandler,Amber Marie Bollinger,Khalil Sullins,divorce papers fainting mind control playground technology
Felicia's Journey,1999.0,Drama Thriller,Bob Hoskins,Elaine Cassidy,Gerard McSorley,Atom Egoyan,caterer catering chef friend lawn mower
Metropolis,1927.0,Drama Sci-Fi,Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge,Fritz Lang,art deco bible quote dance silent film worker
District B13,2004.0,Action Crime Thriller,David Belle,Cyril Raffaelli,Dany Verissimo-Petit,Pierre Morel,bomb gang police sister undercover cop
Things to Do in Denver When You're Dead,1995.0,Crime Drama,Steve Buscemi,Bill Cobbs,Treat Williams,Gary Fleder,death finger gun video message what happened to epilogue wheelchair
The Assassin,2015.0,Action Drama,Qi Shu,Chen Chang,Satoshi Tsumabuki,Hsiao-Hsien Hou,black magic china love refusal to kill wuxia
Buffalo Soldiers,2001.0,Comedy Crime Drama Thriller War,Dean Stockwell,Scott Glenn,Leon,Gregor Jordan,berlin wall germany murder soldier specialist
The Return,2003.0,Drama Mystery Thriller,Konstantin Lavronenko,Vladimir Garin,Nataliya Vdovina,Andrey Zvyagintsev,boy photograph return russian wilderness
Ong-bak 2,2008.0,Action,Nirut Sirichanya,Petchtai Wongkamlao,Sarunyu Wongkrachang,Tony Jaa,cult film elephant jungle martial arts stylized violence
Centurion,2010.0,Action Adventure Drama History Thriller War,Michael Fassbender,JJ Feild,Dave Legeno,Neil Marshall,mushroom mute roman soldier screaming wood carving
Silent Trigger,1996.0,Action Drama Thriller,Christopher Heyerdahl,Gina Bellman,Conrad Dunn,Russell Mulcahy,assassin die hard scenario rangefinder soldier veteran
The Midnight Meat Train,2008.0,Fantasy Horror Mystery,Bradley Cooper,Brooke Shields,Leslie Bibb,Ryûhei Kitamura,butcher girlfriend mute character photographer subway
Winnie Mandela,2011.0,Biography Drama History,Jennifer Hudson,Wendy Crewson,Aubrey Poo,Darrell Roodt,character name in title nelson mandela one word title reference to winnie mandela south africa
The Son of No One,2011.0,Crime Drama Thriller,Channing Tatum,Al Pacino,Tracy Morgan,Dito Montiel,housing project letter man with glasses murder subjective camera
All the Queen's Men,2001.0,Action Comedy Drama War,Eddie Izzard,Udo Kier,Edward Fox,Stefan Ruzowitzky,apostrophe in title behind enemy lines box office flop gay interest punctuation in title
The Good Night,2007.0,Comedy Drama Fantasy Music Romance,Stephen Graham,Gael Le Cornec,Keith Allen,Jake Paltrow,commercial dream dreaming girl new york city
Bathory: Countess of Blood,2008.0,Biography Drama Fantasy History,Anna Friel,Hans Matheson,Franco Nero,Juraj Jakubisko,bathory countess female protagonist legend virgin blood
Khumba,2013.0,Adventure Animation Family,Liam Neeson,Steve Buscemi,Loretta Devine,Anthony Silverston,herd ostrich waterhole wildebeest zebra
Automata,2014.0,Action Sci-Fi Thriller,Birgitte Hjort Sørensen,Robert Forster,Melanie Griffith,Gabe Ibáñez,child hitman dystopia future robot self repair
Dungeons & Dragons: Wrath of the Dragon God,2005.0,Action Adventure Fantasy,Bruce Payne,Lucy Gaskell,Steven Elder,Gerry Lively,combat helmet martial arts medieval times violence
Chiamatemi Francesco - Il Papa della gente,2015.0,Biography,Maximilian Dirr,Rodrigo De la Serna,Ferdinando Vetere,Daniele Luchetti,unknown
Shinjuku Incident,2009.0,Action Crime Drama Thriller,Bingbing Fan,Daniel Wu,Yasuaki Kurata,Tung-Shing Yee,chinese gang gratitude immigrant japan
Pandaemonium,2000.0,Biography Drama,Samantha Morton,Dexter Fletcher,Linus Roache,Julien Temple,betrayal french revolution friendship poet revolution
Groundhog Day,1993.0,Comedy Fantasy Romance,Bill Murray,Chris Elliott,Willie Garson,Harold Ramis,cult film existentialism groundhog day time loop trapped in a time loop
Magic Mike XXL,2015.0,Comedy Drama Music,Matt Bomer,Channing Tatum,Kevin Nash,Gregory Jacobs,male bonding male friendship male objectification muscular stripper
Romeo + Juliet,1996.0,Drama Romance,Leonardo DiCaprio,Harold Perrineau,Brian Dennehy,Baz Luhrmann,hawaiian shirt love shakespeare adaptation shakespeare play star crossed lovers
Sarah's Key,2010.0,Drama War,Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj,Gilles Paquet-Brenner,apartment escape jewish family journalist key
Freedom,2014.0,Drama Family Music,Sharon Leal,David Rasche,Bart Shatto,Peter Cousens,19th century christian film hymn religion slave
Unforgiven,1992.0,Drama Western,Clint Eastwood,Morgan Freeman,Frances Fisher,Clint Eastwood,englishman leaving flowers on a grave one last job reputation visiting wife's grave
Manderlay,2005.0,Drama,Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr,Lars von Trier,cotton female frontal nudity flogging gangster slavery
Slumdog Millionaire,2008.0,Drama Romance,Anil Kapoor,Saurabh Shukla,Ayush Mahesh Khedekar,Danny Boyle,cheating falling from height murder non professional cast slum
Fatal Attraction,1987.0,Drama Romance Thriller,Fred Gwynne,Lois Smith,Anne Archer,Adrian Lyne,borderline personality disorder killing a pet madame butterfly new york new york city
Pretty Woman,1990.0,Comedy Romance,Julia Roberts,Hector Elizondo,Jason Alexander,Garry Marshall,businessman falling in love with a prostitute hotel prostitute rich man poor woman
Towering Inferno            ,unknown,Comedy,Martin Short,Andrea Martin,Joe Flaherty,John Blanchard,unknown
Crocodile Dundee II,1988.0,Action Adventure Comedy,Paul Hogan,Linda Kozlowski,John Meillon,John Cornell,australia australian crime boss crocodile gangster
Broken Horses,2015.0,Action Crime Drama Mystery Thriller,María Valverde,Chris Marquette,Chad Bishop,Vidhu Vinod Chopra,unknown
Born on the Fourth of July,1989.0,Biography Drama War,Tom Cruise,Tom Berenger,Stephen Baldwin,Oliver Stone,desert drunkenness religious mother strict mother vietnam war
Cool Runnings,1993.0,Adventure Comedy Family Sport,Doug E. Doug,Leon,Malik Yoba,Jon Turteltaub,bobsled coach jamaica olympic games olympics
My Bloody Valentine,2009.0,Horror Thriller,Jensen Ackles,Jaime King,Edi Gathegi,Patrick Lussier,coma death miner valentine valentine's day
The Possession,2012.0,Horror Thriller,Kyra Sedgwick,Madison Davenport,Natasha Calis,Ole Bornedal,basketball coach box jewish rabbi yard sale
First Blood,1982.0,Action Adventure Drama,Sylvester Stallone,Brian Dennehy,Chris Mulkey,Ted Kotcheff,1980s colonel deputy rambo sheriff
Stomp the Yard,2007.0,Drama Music Romance,Chris Brown,Laz Alonso,Harry Lennix,Sylvain White,atlanta georgia competition dancer death fraternity
The Spy Who Loved Me,1977.0,Action Adventure Sci-Fi Thriller,Caroline Munro,Desmond Llewelyn,Barbara Bach,Lewis Gilbert,1970s cult film official james bond series submarine world war three
Ghost Hunters            ,unknown,Documentary,Amy Bruni,Steve Gonsalves,Jason Hawes,unknown,ghost paranormal paranormal research shaky cam
Urban Legend,1998.0,Horror Mystery Thriller,Alicia Witt,Loretta Devine,Julian Richings,Jamie Blanks,campus death friend professor urban legend
Dangerous Liaisons,1988.0,Drama Romance,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,Stephen Frears,catholic corruption emotional abuse france seduction
Good Deeds,2012.0,Comedy Drama Romance,Eddie Cibrian,Phylicia Rashad,Jamie Kennedy,Tyler Perry,businessman fight mean brother narrated by character wordplay in title
White Fang,1991.0,Adventure Drama,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan,Randal Kleiser,alaska dog friendship gold yukon
Superstar,1999.0,Comedy Romance,Will Ferrell,Elaine Hendrix,Molly Shannon,Bruce McCulloch,dancing orphan school special education student
The Iron Lady,2011.0,Biography Drama History,Meryl Streep,Jim Broadbent,Olivia Colman,Phyllida Lloyd,british prime minister female prime minister politics prime minister told in flashback
Jonah: A VeggieTales Movie,2002.0,Adventure Animation Comedy Drama Family Musical,Phil Vischer,Mike Nawrocki,Shelby Vischer,Mike Nawrocki,anthropomorphism pirate pirate ship tomato whale
Poetic Justice,1993.0,Drama Romance,Janet Jackson,Khandi Alexander,Maya Angelou,John Singleton,african american mail carrier poetry postal worker south central los angeles
All About the Benjamins,2002.0,Action Comedy Crime Thriller,Mike Epps,Roger Guenveur Smith,Gino Salvano,Kevin Bray,black comedy bounty hunter diamond machismo money
Vampire in Brooklyn,1995.0,Comedy Fantasy Horror Romance,John Witherspoon,W. Earl Brown,Allen Payne,Wes Craven,blood destiny nightmare partner vampire
Exorcist II: The Heretic,1977.0,Horror,Linda Blair,Richard Burton,Ned Beatty,John Boorman,demon exorcism locust priest repressed memory
An American Haunting,2005.0,Horror Mystery Thriller,Sissy Spacek,James D'Arcy,Vernon Dobtcheff,Courtney Solomon,flashback lifting someone into the air paranormal phenomena voice over letter year 1818
My Boss's Daughter,2003.0,Comedy Romance,Carmen Electra,Tyler Labine,Molly Shannon,David Zucker,boss' daughter crush house sitter housesitting love interest
A Perfect Getaway,2009.0,Adventure Mystery Thriller,Chris Hemsworth,Milla Jovovich,Marley Shelton,David Twohy,cliff hawaii island newlywed waterfall
Our Family Wedding,2010.0,Comedy Romance,America Ferrera,Lance Gross,Lupe Ontiveros,Rick Famuyiwa,california love marriage wedding wedding dress
Dead Man on Campus,1998.0,Comedy,Alyson Hannigan,Linda Cardellini,Poppy Montgomery,Alan Cohn,college college roommate party roommate student
Tea with Mussolini,1999.0,Comedy Drama War,Lily Tomlin,Joan Plowright,Paolo Seganti,Franco Zeffirelli,ambassador american art english italy
Thinner,1996.0,Fantasy Horror,Joe Mantegna,Bethany Joy Lenz,Kari Wuhrer,Tom Holland,death doctor gypsy judge lawyer
"New York, New York",1977.0,Drama Music Musical Romance,Robert De Niro,Liza Minnelli,Mary Kay Place,Martin Scorsese,love musician saxophonist singer songwriter
Crooklyn,1994.0,Comedy Drama,Alfre Woodard,Delroy Lindo,Isaiah Washington,Spike Lee,argument birthday bully coming of age semi autobiographical
I Think I Love My Wife,2007.0,Comedy Drama Romance,Steve Buscemi,Eliza Coupe,Wendell Pierce,Chris Rock,banker investment investment banker marriage sex
Jason X,2001.0,Action Horror Sci-Fi Thriller,Peter Mensah,Kane Hodder,Lexa Doig,James Isaac,jason voorhees lake machete scientist slasher
Big Fat Liar,2002.0,Adventure Comedy Family,Frankie Muniz,Donald Faison,Lee Majors,Shawn Levy,brunette film producer liar prank stunt
Bobby,2006.0,Drama History,Anthony Hopkins,Nick Cannon,Brian Geraghty,Emilio Estevez,campaign chess friend hotel senator
Head Over Heels,2001.0,Comedy Mystery Romance,Monica Potter,Ivana Milicevic,China Chow,Mark Waters,apartment fast motion scene model private investigation suspected murder
Fun Size,2012.0,Adventure Comedy,Thomas McDonell,Jackson Nicoll,Osric Chau,Josh Schwartz,adult humor best friend friend halloween teenage girl
The Diving Bell and the Butterfly,2007.0,Biography Drama,Emmanuelle Seigner,Mathieu Amalric,Isaach De Bankolé,Julian Schnabel,arc de triomphe paris based on autobiography coma elle magazine male frontal nudity
Little Children,2006.0,Drama Romance,Kate Winslet,Noah Emmerich,Jane Adams,Todd Field,adulterous wife bar dysfunctional marriage sex offender suburb
Gossip,2000.0,Drama Mystery Thriller,Norman Reedus,Sharon Lawrence,Noam Jenkins,Davis Guggenheim,college college campus gossip rape sex
A Walk on the Moon,1999.0,Drama,Viggo Mortensen,Julie Kavner,Tovah Feldshuh,Tony Goldwyn,adulterous wife cheating wife summer unfaithfulness woodstock
Catch a Fire,2006.0,Biography Drama History,Derek Luke,Terry Pheto,Bonnie Henna,Phillip Noyce,attack coach colonel jail oil refinery
Soul Survivors,2001.0,Drama Horror Mystery Thriller,Melissa Sagemiller,Angela Featherstone,Candace Kroslak,Stephen Carpenter,car accident college ghost girl in panties white panties
Jefferson in Paris,1995.0,Biography Drama History Romance,Seth Gilliam,Todd Boyce,Nigel Whitmey,James Ivory,18th century ambassador french revolution friendship thomas jefferson
Easy Virtue,2008.0,Comedy Romance,Colin Firth,Kristin Scott Thomas,Kris Marshall,Stephan Elliott,estate female frontal nudity female nudity no panties unhappy marriage
Caravans,1978.0,Action Adventure History,Christopher Lee,Joseph Cotten,Behrouz Vossoughi,James Fargo,afghanistan caravan rebel russian tribe
Mr. Turner,2014.0,Biography Drama History,Lesley Manville,Ruth Sheen,Karl Johnson,Mike Leigh,prism rented room scrofula sketching sunrise
Wild Grass,2009.0,Drama Romance,Mathieu Amalric,Sara Forestier,Edouard Baer,Alain Resnais,dentist letter pilot skateboard wallet
Amen.,2002.0,Biography Crime Drama War,Sebastian Koch,Mathieu Kassovitz,Ulrich Mühe,Costa-Gavras,jesuit jew pope priest ss
Reign of Assassins,2010.0,Action,Woo-sung Jung,Shawn Yue,Kelly Lin,Chao-Bin Su,martial arts sword fight wuxia
The Lucky Ones,2008.0,Comedy Drama War,John Heard,Katherine LaNasa,Mark L. Young,Neil Burger,college tuition guitar road trip soldier stranded
Margaret,2011.0,Drama,Matt Damon,Kieran Culkin,John Gallagher Jr.,Kenneth Lonergan,accident bus loss of virginity new york city virginity
Stan Helsing,2009.0,Comedy Horror,Steve Howey,Kenan Thompson,Diora Baird,Bo Zenga,dollar bill double entendre escaped convict halloween striptease
Flipped,2010.0,Comedy Drama Romance,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,Rob Reiner,apology falling in love multiple perspectives narrated by a girl younger version of character
Brokeback Mountain,2005.0,Drama Romance,Jake Gyllenhaal,Heath Ledger,Anne Hathaway,Ang Lee,gay relationship homosexuality mountain ranch rodeo
Teenage Mutant Ninja Turtles,2014.0,Action Adventure Comedy Sci-Fi,Noel Fisher,Danny Woodburn,Jeremy Howard,Jonathan Liebesman,18 wheeler mutant ninja sewer turtle
Clueless,1995.0,Comedy Romance,Donald Faison,Dan Hedaya,Elisa Donovan,Amy Heckerling,female protagonist high school makeover matchmaker popularity
Far from Heaven,2002.0,Drama Romance,Dennis Quaid,Celia Weston,Michael Gaston,Todd Haynes,african american catastrophe family relationships farewell scene therapy
Hot Tub Time Machine 2,2015.0,Comedy Sci-Fi,Adam Scott,Gillian Jacobs,Collette Wolfe,Steve Pink,acid trip gameshow hot tub time lord time machine
Dekalog            ,unknown,Drama,Krystyna Janda,Olaf Lubaszenko,Olgierd Lukaszewicz,unknown,meaning of life moral challenge morality search for meaning ten commandments
Quills,2000.0,Biography Drama,Kate Winslet,Stephen Marcus,Amelia Warner,Philip Kaufman,asylum lust male pubic hair penis pubic hair
Seven Psychopaths,2012.0,Comedy Crime,Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg,Martin McDonagh,dognapping gangster misfiring gun screenwriter shih tzu
The Caveman's Valentine,2001.0,Crime Drama Music Mystery Thriller,Colm Feore,Tamara Tunie,Aunjanue Ellis,Kasi Lemmons,chrysler building manhattan new york city delusion manhattan new york city new york city title directed by female
The Border            ,unknown,Action Crime Drama Thriller,Jacek Koman,Marian Dziedziel,Jaroslaw Boberek,unknown,unknown
